time;size
0;999569297
69939950;999569297
1392240744;499784648
2067148665;249892324
2747941096;124946162
3453386101;62473081
4105267568;31236541
4715638967;15618271
5168963043;7809136
5576935007;3904568
6105311539;1952284
6696191532;976142
7271820827;488071
7937936863;244035
8482927875;122017
9020766838;61009
9637031387;30504
10374929555;15252
10898936349;7626
11687109435;3813
12348933374;1906
12932940756;953
13559939555;477
14085927505;239
14762937320;120
15337930558;60
15993937506;30
16544937876;15
17151948715;7
17631072281;4
18151924015;2
18609987779;1
